year,revenue,gross_profit,ebit,ebitda,net_income,gross_margin,operating_margin,net_margin
2007,43141.0,13912.0,3738.0,3738.0,4249.0,32.2477457638905,8.664611390556546,9.849099464546487
2008,53170.0,21323.0,,,6773.0,40.10344179048336,,12.738386308068458
2009,62108.0,26556.0,,,9289.0,42.75777677593869,,14.95620531976557
2010,21244.0,29216.0,,,3888.0,137.52588966296366,,18.30163810958388
2011,97763.0,44754.0,23400.0,23400.0,18876.0,45.778055092417375,23.935435696531407,19.307918128535334
2012,82540.0,36649.0,6656.0,6656.0,6756.0,44.40150230191423,8.063968984734673,8.185122364913981
2013,66014.0,44754.0,23400.0,23400.0,3846.0,67.79471021298512,35.44702638834187,5.826036901263368
2014,66014.0,26110.0,-5814.0,-5814.0,3846.0,39.552216196564366,-8.807222710334171,5.826036901263368
2015,58579.0,25123.0,-6041.0,-6041.0,6189.0,42.88738285050957,-10.31256935079124,10.565219617951826
2016,52736.0,25123.0,-6041.0,-6041.0,2170.0,47.6391838592233,-11.455172936893204,4.114836165048544
2017,52736.0,26416.0,-527.0,-527.0,115.0,50.09101941747572,-0.999317354368932,0.21806735436893204
2018,42643.0,26416.0,-527.0,-527.0,,61.946861149543885,-1.235841755974017,
2019,51486.0,22426.0,-4471.0,-4471.0,163.0,43.55747193411801,-8.683914073728781,0.3165909179194344
2020,43343.0,31628.0,-182.0,-182.0,10337.0,72.97141406916919,-0.41990632858823795,23.849295157234156
2021,43343.0,13217.0,-21264.0,-21264.0,10337.0,30.493966730498578,-49.05982511593567,23.849295157234156
2022,27729.0,18537.0,-16353.0,-16353.0,,66.85058963539976,-58.97435897435898,
2023,33384.0,17681.0,-15807.0,-15807.0,,52.96249700455308,-47.3490294751977,
2024,21765.0,17681.0,-15807.0,-15807.0,,81.2359292441994,-72.62577532736044,
2025,20518.0,11823.0,-20431.0,-20431.0,,57.62257529973681,-99.57598206452872,
