year,revenue,revenue_growth_yoy,revenue_cagr_3y,revenue_cagr_5y,revenue_cagr_10y
2007,43141.0,,,,
2008,53170.0,23.24702718991215,,,
2009,62108.0,16.810231333458717,12.915209730020404,,
2010,21244.0,-65.79506665807948,-26.347095572603152,,
2011,97763.0,360.1911127847863,16.325695703260635,17.77601683427683,
2012,82540.0,-15.571330667021266,57.20851207299344,9.194197488818713,
2013,66014.0,-20.021807608432276,-12.268845818362117,1.2273111140850501,
2014,66014.0,0.0,-7.176659256970785,25.45268225159414,
2015,58579.0,-11.26276244432999,-3.9047395391963002,-9.736226219517896,
2016,52736.0,-9.974564263643968,-7.212306563338422,-8.570036955608096,2.028546044704216
2017,52736.0,0.0,-3.4419668652558078,-4.392001325881401,-0.0819263543140214
2018,42643.0,-19.138728762135923,-6.83627282722965,-8.369018121263515,-3.6903020961650657
2019,51486.0,20.73728396219778,-0.7964252021582685,-2.5482954745846387,9.255997373623082
2020,43343.0,-15.815949966981316,0.5442114791738284,-3.847106816200796,-7.811989039943934
2021,43343.0,0.0,-5.577258620615089,-3.847106816200796,-6.238304887304203
2022,27729.0,-36.02427150866345,-13.833507813725731,-8.247629913439825,-8.308344105187416
2023,33384.0,20.393811533052038,-8.33438259210305,-8.299892695080935,-6.590675318431439
2024,21765.0,-34.8040977713875,-7.755286165420527,-12.869954519937854,-9.426391253084375
2025,20518.0,-5.7293820353779,-14.97782358629599,-13.892057621518894,-9.008089448595324
