,growth_metrics,profitability_metrics,balance_sheet_metrics,returns_metrics,efficiency_metrics
revenue_3y_avg,25222.333333333332,25222.333333333332,,,25222.333333333332
revenue_3y_std,7095.6574278451,7095.6574278451,,,7095.6574278451
revenue_growth_yoy_3y_avg,-6.713222757904453,,,,
revenue_growth_yoy_3y_std,27.612103411742456,,,,
revenue_cagr_3y_3y_avg,-10.35583078127319,,,,
revenue_cagr_3y_3y_std,4.013222057787361,,,,
revenue_cagr_5y_3y_avg,-11.687301612179228,,,,
revenue_cagr_5y_3y_std,2.9777639373014724,,,,
revenue_cagr_10y_3y_avg,-8.341718673370378,,,,
revenue_cagr_10y_3y_std,1.5308032933942117,,,,
revenue_10y_avg,38968.3,38968.3,,,38968.3
revenue_10y_std,12389.263865227113,12389.263865227113,,,12389.263865227113
revenue_growth_yoy_10y_avg,-8.035589881294023,,,,
revenue_growth_yoy_10y_std,19.601762306618884,,,,
revenue_cagr_3y_10y_avg,-6.8221018756968705,,,,
revenue_cagr_3y_10y_std,4.972504348707061,,,,
revenue_cagr_5y_10y_avg,-7.488310025971674,,,,
revenue_cagr_5y_10y_std,3.8536950048044303,,,,
revenue_cagr_10y_10y_avg,-3.987147908469848,,,,
revenue_cagr_10y_10y_std,6.026347471311205,,,,
revenue_all_avg,50706.2,50706.2,,,50706.2
revenue_all_std,21576.441197353586,21576.441197353586,,,21576.441197353586
revenue_all_min,20518.0,20518.0,,,20518.0
revenue_all_max,97763.0,97763.0,,,97763.0
revenue_growth_yoy_all_avg,15.531954216804175,,,,
revenue_growth_yoy_all_std,96.72973078779404,,,,
revenue_growth_yoy_all_min,-36.02427150866345,,,,
revenue_growth_yoy_all_max,360.1911127847863,,,,
revenue_cagr_3y_all_avg,-1.2024703730162556,,,,
revenue_cagr_3y_all_std,17.774122664727674,,,,
revenue_cagr_3y_all_min,-14.97782358629599,,,,
revenue_cagr_3y_all_max,57.20851207299344,,,,
revenue_cagr_5y_all_avg,-2.0646079193639943,,,,
revenue_cagr_5y_all_std,11.260318882110994,,,,
revenue_cagr_5y_all_min,-13.892057621518894,,,,
revenue_cagr_5y_all_max,25.45268225159414,,,,
revenue_cagr_10y_all_avg,-3.987147908469848,,,,
revenue_cagr_10y_all_std,6.026347471311205,,,,
revenue_cagr_10y_all_min,-9.426391253084375,,,,
revenue_cagr_10y_all_max,9.255997373623082,,,,
gross_profit_3y_avg,,15728.333333333334,,,
gross_profit_3y_std,,3382.117876912828,,,
ebit_3y_avg,,-17348.333333333332,,,
ebit_3y_std,,2669.6676447328296,,,
ebitda_3y_avg,,-17348.333333333332,,,
ebitda_3y_std,,2669.6676447328296,,,
gross_margin_3y_avg,,63.940333849496426,,,
gross_margin_3y_std,,15.158571749088486,,,
operating_margin_3y_avg,,-73.18359562236229,,,
operating_margin_3y_std,,26.117944344898092,,,
gross_profit_10y_avg,,21094.8,,,
gross_profit_10y_std,,6354.819165186545,,,
ebit_10y_avg,,-10141.0,,,
ebit_10y_std,,8598.448555149676,,,
ebitda_10y_avg,,-10141.0,,,
ebitda_10y_std,,8598.448555149676,,,
net_income_10y_avg,,4624.4,,4624.4,
net_income_10y_std,,5280.39901901362,,5280.39901901362,
gross_margin_10y_avg,,56.537150834391774,,,
gross_margin_10y_std,,14.896490541342331,,,
operating_margin_10y_avg,,-35.03791234069347,,,
operating_margin_10y_std,,35.35444667170147,,,
net_margin_10y_avg,,10.469616950361043,,,
net_margin_10y_std,,12.314554634687877,,,
gross_profit_all_avg,,25889.2,,,
gross_profit_all_std,,10076.44609402116,,,
gross_profit_all_min,,11823.0,,,
gross_profit_all_max,,44754.0,,,
ebit_all_avg,,-3987.266666666667,,,
ebit_all_std,,13797.108519368763,,,
ebit_all_min,,-21264.0,,,
ebit_all_max,,23400.0,,,
ebitda_all_avg,,-3987.266666666667,,,
ebitda_all_std,,13797.108519368763,,,
ebitda_all_min,,-21264.0,,,
ebitda_all_max,,23400.0,,,
net_income_all_avg,,6263.5,,6263.5,
net_income_all_std,,5734.646889255209,,5734.646889255209,
net_income_all_min,,115.0,,115.0,
net_income_all_max,,18876.0,,18876.0,
gross_margin_all_avg,,53.71902499988722,,,
gross_margin_all_std,,13.996403354496419,,,
gross_margin_all_min,,30.493966730498578,,,
gross_margin_all_max,,81.2359292441994,,,
operating_margin_all_avg,,-20.136832293230142,,,
operating_margin_all_std,,37.34199617918273,,,
operating_margin_all_min,,-99.57598206452872,,,
operating_margin_all_max,,35.44702638834187,,,
net_margin_all_avg,,10.20584186657331,,,
net_margin_all_std,,9.0207572045837,,,
net_margin_all_min,,0.21806735436893204,,,
net_margin_all_max,,23.849295157234156,,,
total_assets_3y_avg,,,48552.333333333336,48552.333333333336,48552.333333333336
total_assets_3y_std,,,9815.853112864583,9815.853112864583,9815.853112864583
total_liabilities_3y_avg,,,27153.666666666668,,
total_liabilities_3y_std,,,28662.526516923335,,
cash_3y_avg,,,13663.333333333334,,
cash_3y_std,,,13130.651633994914,,
total_debt_3y_avg,,,0.0,,
total_debt_3y_std,,,0.0,,
net_debt_3y_avg,,,-13663.333333333334,,
net_debt_3y_std,,,13130.651633994914,,
debt_to_assets_3y_avg,,,0.0,,
debt_to_assets_3y_std,,,0.0,,
current_ratio_3y_avg,,,5.033169413333291,,
current_ratio_3y_std,,,1.5135626776561781,,
quick_ratio_3y_avg,,,1.864768854419656,,
quick_ratio_3y_std,,,1.532276112193976,,
total_assets_10y_avg,,,61938.2,61938.2,61938.2
total_assets_10y_std,,,19994.816158194604,19994.816158194604,19994.816158194604
total_liabilities_10y_avg,,,31702.0,,
total_liabilities_10y_std,,,30476.093822316972,,
stockholders_equity_10y_avg,,,89869.0,89869.0,89869.0
stockholders_equity_10y_std,,,,,
cash_10y_avg,,,14655.1,,
cash_10y_std,,,15760.61284376693,,
total_debt_10y_avg,,,0.0,,
