filename,company,form_type,filing_date,year,source_file,statement_type,sheet_name,line_item,unnamed_2,unnamed_5,unnamed_8,unnamed_3,unnamed_6,unnamed_9,unnamed_11,unnamed_13,unnamed_14,unnamed_4,unnamed_7,unnamed_10,unnamed_12,unnamed_15,unnamed_18,unnamed_1,year_1,-44710,year_3,-5270,year_5,-30210,-1820,582,415,399,252230,213550,169980
GSIT (GSI Technology Inc.) Annual report pursuant to Section 13 or 15(d) (10-K) 2007-06-20,GSIT,10-K,2007-06-20,2007,GSIT (GSI Technology Inc.) Annual report pursuant to Section 13 or 15(d) (10-K) 2007-06-20.xlsx,income_statement,note 5income taxes,U.S. federal,4107.0,875.0,1123.0,,,,,,,,,,,,,,,,,,,,,,,,,,
GSIT (GSI Technology Inc.) Annual report pursuant to Section 13 or 15(d) (10-K) 2007-06-20,GSIT,10-K,2007-06-20,2007,GSIT (GSI Technology Inc.) Annual report pursuant to Section 13 or 15(d) (10-K) 2007-06-20.xlsx,income_statement,note 5income taxes,Foreign,66.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSIT (GSI Technology Inc.) Annual report pursuant to Section 13 or 15(d) (10-K) 2007-06-20,GSIT,10-K,2007-06-20,2007,GSIT (GSI Technology Inc.) Annual report pursuant to Section 13 or 15(d) (10-K) 2007-06-20.xlsx,income_statement,note 5income taxes,State,38.0,17.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,
GSIT (GSI Technology Inc.) Annual report pursuant to Section 13 or 15(d) (10-K) 2007-06-20,GSIT,10-K,2007-06-20,2007,GSIT (GSI Technology Inc.) Annual report pursuant to Section 13 or 15(d) (10-K) 2007-06-20.xlsx,income_statement,note 5income taxes,U.S. federal,-132.0,-544.0,-596.0,,,,,,,,,,,,,,,,,,,,,,,,,,
GSIT (GSI Technology Inc.) Annual report pursuant to Section 13 or 15(d) (10-K) 2007-06-20,GSIT,10-K,2007-06-20,2007,GSIT (GSI Technology Inc.) Annual report pursuant to Section 13 or 15(d) (10-K) 2007-06-20.xlsx,income_statement,note 5income taxes,State,172.0,-190.0,-695.0,,,,,,,,,,,,,,,,,,,,,,,,,,
GSIT (GSI Technology Inc.) Annual report pursuant to Section 13 or 15(d) (10-K) 2008-06-17,GSIT,10-K,2008-06-17,2008,GSIT (GSI Technology Inc.) Annual report pursuant to Section 13 or 15(d) (10-K) 2008-06-17.xlsx,income_statement,net income,Facilities and equipment leases,685000.0,503000.0,140000.0,,,,,1328000.0,,,,,,,,,,,,,,,,,,,,,
GSIT (GSI Technology Inc.) Annual report pursuant to Section 13 or 15(d) (10-K) 2008-06-17,GSIT,10-K,2008-06-17,2008,GSIT (GSI Technology Inc.) Annual report pursuant to Section 13 or 15(d) (10-K) 2008-06-17.xlsx,income_statement,net income,Wafer purchase obligations,,,,2762000.0,,,,,2762.0,,,,,,,,,,,,,,,,,,,,
GSIT (GSI Technology Inc.) Annual report pursuant to Section 13 or 15(d) (10-K) 2008-06-17,GSIT,10-K,2008-06-17,2008,GSIT (GSI Technology Inc.) Annual report pursuant to Section 13 or 15(d) (10-K) 2008-06-17.xlsx,income_statement,note 2net income per commo,Redeemable convertible preferred stock,1.0,,,,120.0,,,,,120.0,,,,,,,,,,,,,,,,,,,
GSIT (GSI Technology Inc.) Annual report pursuant to Section 13 or 15(d) (10-K) 2008-06-17,GSIT,10-K,2008-06-17,2008,GSIT (GSI Technology Inc.) Annual report pursuant to Section 13 or 15(d) (10-K) 2008-06-17.xlsx,income_statement,note 2net income per commo,Stock options,2554.0,,,,883.0,,,,,610.0,,,,,,,,,,,,,,,,,,,
GSIT (GSI Technology Inc.) Annual report pursuant to Section 13 or 15(d) (10-K) 2008-06-17,GSIT,10-K,2008-06-17,2008,GSIT (GSI Technology Inc.) Annual report pursuant to Section 13 or 15(d) (10-K) 2008-06-17.xlsx,income_statement,note 5income taxes,U.S. federal,,,,2702.0,4107.0,875.0,,,,,,,,,,,,,,,,,,,,,,,
