ticker,company,date,open,high,low,close,volume
GSIT,GSI Technology Inc.,2024-10-04,3.87,4.3,3.57,3.8,639501
GSIT,GSI Technology Inc.,2024-10-07,3.8,3.9412,3.7122,3.81,244135
GSIT,GSI Technology Inc.,2024-10-08,3.85,3.85,3.3201,3.48,207668
GSIT,GSI Technology Inc.,2024-10-09,3.48,3.6194,3.46,3.52,68452
GSIT,GSI Technology Inc.,2024-10-10,3.43,3.5499,3.3,3.54,189469
GSIT,GSI Technology Inc.,2024-10-11,3.52,3.85,3.52,3.71,165685
GSIT,GSI Technology Inc.,2024-10-14,3.74,3.7629,3.56,3.61,62917
GSIT,GSI Technology Inc.,2024-10-15,3.6,3.85,3.6,3.8,180339
GSIT,GSI Technology Inc.,2024-10-16,3.85,3.99,3.56,3.95,241524
GSIT,GSI Technology Inc.,2024-10-17,4.0,4.09,3.52,3.55,342369
GSIT,GSI Technology Inc.,2024-10-18,3.7,3.8399,3.52,3.82,212520
GSIT,GSI Technology Inc.,2024-10-21,3.83,3.97,3.52,3.6,296685
GSIT,GSI Technology Inc.,2024-10-22,3.59,3.6,3.3,3.54,124437
GSIT,GSI Technology Inc.,2024-10-23,3.5,3.51,3.31,3.34,101590
GSIT,GSI Technology Inc.,2024-10-24,3.34,3.51,3.16,3.43,188553
GSIT,GSI Technology Inc.,2024-10-25,3.37,3.52,3.17,3.39,232713
GSIT,GSI Technology Inc.,2024-10-28,3.41,3.79,3.351,3.69,238819
GSIT,GSI Technology Inc.,2024-10-29,3.64,3.7699,3.37,3.48,169926
GSIT,GSI Technology Inc.,2024-10-30,3.37,3.47,3.15,3.21,305647
GSIT,GSI Technology Inc.,2024-10-31,3.21,3.2899,3.05,3.18,202661
GSIT,GSI Technology Inc.,2024-11-01,3.22,3.25,3.0901,3.15,109074
GSIT,GSI Technology Inc.,2024-11-04,3.15,3.17,3.03,3.04,136900
GSIT,GSI Technology Inc.,2024-11-05,3.0,3.14,3.0,3.07,94575
GSIT,GSI Technology Inc.,2024-11-06,3.19,3.2221,3.06,3.11,110971
GSIT,GSI Technology Inc.,2024-11-07,3.12,3.19,3.06,3.06,91525
GSIT,GSI Technology Inc.,2024-11-08,3.01,3.1799,3.01,3.14,107521
GSIT,GSI Technology Inc.,2024-11-11,3.18,3.2,3.0,3.14,163996
GSIT,GSI Technology Inc.,2024-11-12,3.12,3.14,2.99,3.03,165826
GSIT,GSI Technology Inc.,2024-11-13,3.04,3.07,2.7,2.78,360667
GSIT,GSI Technology Inc.,2024-11-14,2.75,2.76,2.6,2.645,110239
GSIT,GSI Technology Inc.,2024-11-15,2.64,2.64,2.45,2.51,146928
GSIT,GSI Technology Inc.,2024-11-18,2.51,2.5956,2.5,2.56,126096
GSIT,GSI Technology Inc.,2024-11-19,2.6,2.74,2.57,2.7,127425
GSIT,GSI Technology Inc.,2024-11-20,2.75,2.835,2.678,2.74,145440
GSIT,GSI Technology Inc.,2024-11-21,2.76,3.0,2.6989,2.95,131487
GSIT,GSI Technology Inc.,2024-11-22,3.0,3.29,2.97,3.19,282478
GSIT,GSI Technology Inc.,2024-11-25,3.25,3.29,3.09,3.1,156498
GSIT,GSI Technology Inc.,2024-11-26,3.1,3.12,2.9852,3.05,99847
GSIT,GSI Technology Inc.,2024-11-27,3.09,3.19,2.97,3.18,136180
GSIT,GSI Technology Inc.,2024-11-29,3.2,3.38,3.2,3.3,101643
GSIT,GSI Technology Inc.,2024-12-02,3.31,3.31,3.16,3.2,110408
GSIT,GSI Technology Inc.,2024-12-03,3.2,3.215,2.9601,3.01,123385
GSIT,GSI Technology Inc.,2024-12-04,2.97,3.04,2.835,2.86,155980
GSIT,GSI Technology Inc.,2024-12-05,2.86,3.0,2.85,2.98,117473
GSIT,GSI Technology Inc.,2024-12-06,2.99,3.03,2.91,3.0,136239
GSIT,GSI Technology Inc.,2024-12-09,3.03,3.1221,2.88,2.93,149849
GSIT,GSI Technology Inc.,2024-12-10,2.93,2.93,2.71,2.84,120753
GSIT,GSI Technology Inc.,2024-12-11,2.81,2.842,2.68,2.75,118471
GSIT,GSI Technology Inc.,2024-12-12,2.72,2.78,2.681,2.72,99769
GSIT,GSI Technology Inc.,2024-12-13,2.69,2.72,2.5961,2.62,119061
GSIT,GSI Technology Inc.,2024-12-16,2.6,2.63,2.54,2.59,144698
GSIT,GSI Technology Inc.,2024-12-17,2.65,2.72,2.55,2.72,179986
GSIT,GSI Technology Inc.,2024-12-18,2.74,3.23,2.73,3.01,525674
GSIT,GSI Technology Inc.,2024-12-19,3.01,3.05,2.7087,2.73,159395
GSIT,GSI Technology Inc.,2024-12-20,2.75,2.94,2.73,2.77,131668
GSIT,GSI Technology Inc.,2024-12-23,2.88,2.9325,2.82,2.87,104210
GSIT,GSI Technology Inc.,2024-12-24,2.85,2.93,2.75,2.93,73839
GSIT,GSI Technology Inc.,2024-12-26,2.91,3.1603,2.91,3.15,187945
GSIT,GSI Technology Inc.,2024-12-27,3.05,3.14,2.96,3.05,99184
GSIT,GSI Technology Inc.,2024-12-30,3.05,3.2,2.93,3.11,206768
GSIT,GSI Technology Inc.,2024-12-31,3.07,3.15,2.92,3.03,134817
GSIT,GSI Technology Inc.,2025-01-02,3.0,3.29,2.9702,3.26,252292
GSIT,GSI Technology Inc.,2025-01-03,3.25,3.7,3.25,3.5,426062
GSIT,GSI Technology Inc.,2025-01-06,3.59,3.6,3.4236,3.48,223109
GSIT,GSI Technology Inc.,2025-01-07,3.48,3.54,3.3505,3.43,133947
GSIT,GSI Technology Inc.,2025-01-08,3.34,3.345,3.0,3.06,183905
GSIT,GSI Technology Inc.,2025-01-10,3.0,3.065,2.92,2.96,116263
GSIT,GSI Technology Inc.,2025-01-13,2.91,2.92,2.67,2.76,262494
GSIT,GSI Technology Inc.,2025-01-14,2.77,2.867,2.57,2.73,273836
GSIT,GSI Technology Inc.,2025-01-15,2.79,2.88,2.72,2.8,120881
GSIT,GSI Technology Inc.,2025-01-16,2.83,2.8472,2.6,2.75,252812
GSIT,GSI Technology Inc.,2025-01-17,2.99,4.9,2.9,3.95,87700984
GSIT,GSI Technology Inc.,2025-01-21,3.93,3.9582,3.44,3.52,3094969
GSIT,GSI Technology Inc.,2025-01-22,3.5,3.9,3.48,3.55,1226684
GSIT,GSI Technology Inc.,2025-01-23,3.5,3.67,3.36,3.64,469295
GSIT,GSI Technology Inc.,2025-01-24,3.68,3.68,3.16,3.21,716635
