filename,company,form_type,filing_date,year,source_file,statement_type,line_item,unnamed_2,unnamed_5,unnamed_8,unnamed_11,unnamed_1,unnamed_3,unnamed_4,unnamed_6,unnamed_7,unnamed_9,unnamed_10,in_thousands,period_2,-91125,038,170380,5622,8349,period_4,1186,833,17230,16990,period_1,3140,period_3,3070,9529,8360,2205,1208,17269,17264,51,27,2144,3386,6251,1557,17288,48,2452,8754,1767,18351,31,3700,2683,5800,,430,350,3270,4840,240,3130,230,49020,47930,22,220,50,4793,780,1890,420,310,41390,40720,1170,300,10000,7500,4057,590,510,390,1750,450,600,540,570,24,40660,40580,580,2432
GSIT (GSI Technology Inc.) General form for quarterly reports under Section 13 or 15(d) (10-Q) 2007-08-10,GSIT,10-Q,2007-08-10,2007,GSIT (GSI Technology Inc.) General form for quarterly reports under Section 13 or 15(d) (10-Q) 2007-08-10.xlsx,balance_sheet,Auction rate securities,6000.0,,,6000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSIT (GSI Technology Inc.) General form for quarterly reports under Section 13 or 15(d) (10-Q) 2007-08-10,GSIT,10-Q,2007-08-10,2007,GSIT (GSI Technology Inc.) General form for quarterly reports under Section 13 or 15(d) (10-Q) 2007-08-10.xlsx,balance_sheet,State and municipal obligations,20510.0,,-27.0,20483.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSIT (GSI Technology Inc.) General form for quarterly reports under Section 13 or 15(d) (10-Q) 2007-08-10,GSIT,10-Q,2007-08-10,2007,GSIT (GSI Technology Inc.) General form for quarterly reports under Section 13 or 15(d) (10-Q) 2007-08-10.xlsx,balance_sheet,Certificates of deposit,1000.0,,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSIT (GSI Technology Inc.) General form for quarterly reports under Section 13 or 15(d) (10-Q) 2007-08-10,GSIT,10-Q,2007-08-10,2007,GSIT (GSI Technology Inc.) General form for quarterly reports under Section 13 or 15(d) (10-Q) 2007-08-10.xlsx,balance_sheet,"Total short-term
  investments",27510.0,,-27.0,27483.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSIT (GSI Technology Inc.) General form for quarterly reports under Section 13 or 15(d) (10-Q) 2007-08-10,GSIT,10-Q,2007-08-10,2007,GSIT (GSI Technology Inc.) General form for quarterly reports under Section 13 or 15(d) (10-Q) 2007-08-10.xlsx,balance_sheet,Auction rate securities,4000.0,,,4000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSIT (GSI Technology Inc.) General form for quarterly reports under Section 13 or 15(d) (10-Q) 2007-08-10,GSIT,10-Q,2007-08-10,2007,GSIT (GSI Technology Inc.) General form for quarterly reports under Section 13 or 15(d) (10-Q) 2007-08-10.xlsx,balance_sheet,"Total short-term
  investments",4000.0,,,4000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSIT (GSI Technology Inc.) General form for quarterly reports under Section 13 or 15(d) (10-Q) 2007-08-10,GSIT,10-Q,2007-08-10,2007,GSIT (GSI Technology Inc.) General form for quarterly reports under Section 13 or 15(d) (10-Q) 2007-08-10.xlsx,balance_sheet,Inventories:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSIT (GSI Technology Inc.) General form for quarterly reports under Section 13 or 15(d) (10-Q) 2007-08-10,GSIT,10-Q,2007-08-10,2007,GSIT (GSI Technology Inc.) General form for quarterly reports under Section 13 or 15(d) (10-Q) 2007-08-10.xlsx,balance_sheet,Work-in-progress,11678.0,14009.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSIT (GSI Technology Inc.) General form for quarterly reports under Section 13 or 15(d) (10-Q) 2007-08-10,GSIT,10-Q,2007-08-10,2007,GSIT (GSI Technology Inc.) General form for quarterly reports under Section 13 or 15(d) (10-Q) 2007-08-10.xlsx,balance_sheet,Finished goods,7960.0,8893.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSIT (GSI Technology Inc.) General form for quarterly reports under Section 13 or 15(d) (10-Q) 2007-08-10,GSIT,10-Q,2007-08-10,2007,GSIT (GSI Technology Inc.) General form for quarterly reports under Section 13 or 15(d) (10-Q) 2007-08-10.xlsx,balance_sheet,Inventory at distributors,1462.0,1307.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSIT (GSI Technology Inc.) General form for quarterly reports under Section 13 or 15(d) (10-Q) 2007-08-10,GSIT,10-Q,2007-08-10,2007,GSIT (GSI Technology Inc.) General form for quarterly reports under Section 13 or 15(d) (10-Q) 2007-08-10.xlsx,balance_sheet,"Accounts
  receivable, net:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSIT (GSI Technology Inc.) General form for quarterly reports under Section 13 or 15(d) (10-Q) 2007-08-10,GSIT,10-Q,2007-08-10,2007,GSIT (GSI Technology Inc.) General form for quarterly reports under Section 13 or 15(d) (10-Q) 2007-08-10.xlsx,balance_sheet,Accounts receivable,5177.0,6505.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSIT (GSI Technology Inc.) General form for quarterly reports under Section 13 or 15(d) (10-Q) 2007-08-10,GSIT,10-Q,2007-08-10,2007,GSIT (GSI Technology Inc.) General form for quarterly reports under Section 13 or 15(d) (10-Q) 2007-08-10.xlsx,balance_sheet,"Less: Allowances for sales returns and doubtful
  accounts",-104.0,-108.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSIT (GSI Technology Inc.) General form for quarterly reports under Section 13 or 15(d) (10-Q) 2007-08-10,GSIT,10-Q,2007-08-10,2007,GSIT (GSI Technology Inc.) General form for quarterly reports under Section 13 or 15(d) (10-Q) 2007-08-10.xlsx,balance_sheet,"Prepaid expenses
  and other current assets:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSIT (GSI Technology Inc.) General form for quarterly reports under Section 13 or 15(d) (10-Q) 2007-08-10,GSIT,10-Q,2007-08-10,2007,GSIT (GSI Technology Inc.) General form for quarterly reports under Section 13 or 15(d) (10-Q) 2007-08-10.xlsx,balance_sheet,Prepaid tooling and masks,716.0,1073.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSIT (GSI Technology Inc.) General form for quarterly reports under Section 13 or 15(d) (10-Q) 2007-08-10,GSIT,10-Q,2007-08-10,2007,GSIT (GSI Technology Inc.) General form for quarterly reports under Section 13 or 15(d) (10-Q) 2007-08-10.xlsx,balance_sheet,Prepaid initial public offering costs,,1197.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSIT (GSI Technology Inc.) General form for quarterly reports under Section 13 or 15(d) (10-Q) 2007-08-10,GSIT,10-Q,2007-08-10,2007,GSIT (GSI Technology Inc.) General form for quarterly reports under Section 13 or 15(d) (10-Q) 2007-08-10.xlsx,balance_sheet,Other prepaid expenses,1245.0,935.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSIT (GSI Technology Inc.) General form for quarterly reports under Section 13 or 15(d) (10-Q) 2007-08-10,GSIT,10-Q,2007-08-10,2007,GSIT (GSI Technology Inc.) General form for quarterly reports under Section 13 or 15(d) (10-Q) 2007-08-10.xlsx,balance_sheet,"Property and
  equipment, net:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSIT (GSI Technology Inc.) General form for quarterly reports under Section 13 or 15(d) (10-Q) 2007-08-10,GSIT,10-Q,2007-08-10,2007,GSIT (GSI Technology Inc.) General form for quarterly reports under Section 13 or 15(d) (10-Q) 2007-08-10.xlsx,balance_sheet,Computer and other equipment,8165.0,8078.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSIT (GSI Technology Inc.) General form for quarterly reports under Section 13 or 15(d) (10-Q) 2007-08-10,GSIT,10-Q,2007-08-10,2007,GSIT (GSI Technology Inc.) General form for quarterly reports under Section 13 or 15(d) (10-Q) 2007-08-10.xlsx,balance_sheet,Software,2623.0,2353.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSIT (GSI Technology Inc.) General form for quarterly reports under Section 13 or 15(d) (10-Q) 2007-08-10,GSIT,10-Q,2007-08-10,2007,GSIT (GSI Technology Inc.) General form for quarterly reports under Section 13 or 15(d) (10-Q) 2007-08-10.xlsx,balance_sheet,Furniture and fixtures,228.0,228.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSIT (GSI Technology Inc.) General form for quarterly reports under Section 13 or 15(d) (10-Q) 2007-08-10,GSIT,10-Q,2007-08-10,2007,GSIT (GSI Technology Inc.) General form for quarterly reports under Section 13 or 15(d) (10-Q) 2007-08-10.xlsx,balance_sheet,Leasehold improvements,286.0,286.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSIT (GSI Technology Inc.) General form for quarterly reports under Section 13 or 15(d) (10-Q) 2007-08-10,GSIT,10-Q,2007-08-10,2007,GSIT (GSI Technology Inc.) General form for quarterly reports under Section 13 or 15(d) (10-Q) 2007-08-10.xlsx,balance_sheet,Less: Accumulated depreciation and amortization,-6470.0,-6200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSIT (GSI Technology Inc.) General form for quarterly reports under Section 13 or 15(d) (10-Q) 2007-08-10,GSIT,10-Q,2007-08-10,2007,GSIT (GSI Technology Inc.) General form for quarterly reports under Section 13 or 15(d) (10-Q) 2007-08-10.xlsx,balance_sheet,Other Assets:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSIT (GSI Technology Inc.) General form for quarterly reports under Section 13 or 15(d) (10-Q) 2007-08-10,GSIT,10-Q,2007-08-10,2007,GSIT (GSI Technology Inc.) General form for quarterly reports under Section 13 or 15(d) (10-Q) 2007-08-10.xlsx,balance_sheet,Non-current deferred income taxes,931.0,901.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSIT (GSI Technology Inc.) General form for quarterly reports under Section 13 or 15(d) (10-Q) 2007-08-10,GSIT,10-Q,2007-08-10,2007,GSIT (GSI Technology Inc.) General form for quarterly reports under Section 13 or 15(d) (10-Q) 2007-08-10.xlsx,balance_sheet,Deposits,96.0,94.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSIT (GSI Technology Inc.) General form for quarterly reports under Section 13 or 15(d) (10-Q) 2007-08-10,GSIT,10-Q,2007-08-10,2007,GSIT (GSI Technology Inc.) General form for quarterly reports under Section 13 or 15(d) (10-Q) 2007-08-10.xlsx,balance_sheet,"Accrued expenses
  and other liabilities:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
